antigen_name,cancer_type,mean_tumor_expression,mean_normal_expression,stability_score,literature_support,immunogenicity_score,surface_accessibility,clinical_trials_count,viability_label,data_source,source_database,evidence_level
ADH14B,Thyroid Cancer,3.06,1.44,0.58,0.4,0.673,0.217,10,0,computationally_derived,CARVanta-Computed,computational
ADH14B,Ovarian Cancer,3.02,0.63,0.876,0.456,0.608,0.641,0,0,computationally_derived,CARVanta-Computed,computational
ADH14B,Breast Cancer,4.1,1.72,0.705,0.748,0.403,0.583,0,0,computationally_derived,CARVanta-Computed,computational
ADH14B,Endometrial Cancer,2.2,2.52,0.811,0.514,0.221,0.384,0,0,computationally_derived,CARVanta-Computed,computational
ADH14C,Myeloma,3.8,1.06,0.802,0.557,0.408,0.539,3,0,computationally_derived,CARVanta-Computed,computational
ADH14C,Thyroid Cancer,1.76,0.8,0.962,0.575,0.563,0.338,0,0,computationally_derived,CARVanta-Computed,computational
ADH14C,Liver Cancer,3.57,1.38,0.653,0.594,0.568,0.654,1,0,computationally_derived,CARVanta-Computed,computational
ADH14C,Renal Cancer,2.15,1.68,0.722,0.6,0.253,0.382,0,0,computationally_derived,CARVanta-Computed,computational
ADH14C,Leukemia,3.72,5.45,0.651,0.605,0.108,0.388,0,0,computationally_derived,CARVanta-Computed,computational
ADH14C,Melanoma,3.4,3.78,0.759,0.681,0.13,0.431,4,0,computationally_derived,CARVanta-Computed,computational
ADH14C,Lung Adenocarcinoma,1.92,1.05,0.752,0.457,0.446,0.637,0,0,computationally_derived,CARVanta-Computed,computational
ADH14C,Pancreatic Cancer,2.6,1.22,0.737,0.565,0.544,0.514,0,0,computationally_derived,CARVanta-Computed,computational
ADH14D,Endometrial Cancer,10.74,1.02,0.949,0.509,0.718,0.427,0,0,computationally_derived,CARVanta-Computed,computational
ADH14D,Myeloma,1.7,0.61,0.808,0.624,0.455,0.605,0,1,computationally_derived,CARVanta-Computed,computational
ADH14D,Lymphoma,9.43,0.8,0.736,0.543,0.656,0.63,2,0,computationally_derived,CARVanta-Computed,computational
ADH14D,Liver Cancer,1.41,3.47,0.959,0.61,0.171,0.673,1,0,computationally_derived,CARVanta-Computed,computational
ADH14D,Renal Cancer,9.2,0.96,0.499,0.592,0.815,0.642,5,0,computationally_derived,CARVanta-Computed,computational
ADH14D,Glioblastoma,9.5,1.38,0.787,0.501,0.78,0.401,16,0,computationally_derived,CARVanta-Computed,computational
ADH14D,Gastric Cancer,2.61,0.85,0.99,0.621,0.49,0.457,0,1,computationally_derived,CARVanta-Computed,computational
ADH14D,Leukemia,4.09,1.57,0.72,0.637,0.467,0.466,0,0,computationally_derived,CARVanta-Computed,computational
ADH14D,Ovarian Cancer,4.9,1.42,0.817,0.817,0.523,0.681,0,1,computationally_derived,CARVanta-Computed,computational
ADH14E,Glioblastoma,0.79,1.15,0.596,0.547,0.144,0.63,0,0,computationally_derived,CARVanta-Computed,computational
ADH14E,Endometrial Cancer,3.31,2.79,0.957,0.525,0.211,0.433,0,0,computationally_derived,CARVanta-Computed,computational
ADH14E,Renal Cancer,3.98,2.29,0.836,0.501,0.694,0.507,5,0,computationally_derived,CARVanta-Computed,computational
ADH14E,Colorectal Cancer,1.37,3.96,0.895,0.625,0.518,0.559,1,0,computationally_derived,CARVanta-Computed,computational
ADH14E,Pancreatic Cancer,3.86,1.2,0.895,0.723,0.77,0.699,0,1,computationally_derived,CARVanta-Computed,computational
ADH14E,Leukemia,1.98,1.23,0.66,0.509,0.597,0.553,0,0,computationally_derived,CARVanta-Computed,computational
ADH14E,Melanoma,6.23,0.38,0.627,0.463,0.726,0.415,9,0,computationally_derived,CARVanta-Computed,computational
ADH14E,Ovarian Cancer,5.67,1.1,0.931,0.549,0.969,0.422,0,0,computationally_derived,CARVanta-Computed,computational
ADH14E,Prostate Cancer,3.59,1.76,0.894,0.646,0.476,0.502,14,0,computationally_derived,CARVanta-Computed,computational
ADH14F,Endometrial Cancer,2.9,3.77,0.909,0.793,0.139,0.868,0,0,computationally_derived,CARVanta-Computed,computational
ADH14F,Colorectal Cancer,5.38,2.83,0.908,0.62,0.322,0.72,0,0,computationally_derived,CARVanta-Computed,computational
ADH14F,Thyroid Cancer,4.26,0.69,0.741,0.784,0.842,0.927,29,0,computationally_derived,CARVanta-Computed,computational
ADH14F,Breast Cancer,4.2,0.53,0.757,0.482,0.873,0.407,5,0,computationally_derived,CARVanta-Computed,computational
ADH14F,Glioblastoma,0.67,2.48,0.725,0.561,0.261,0.59,0,0,computationally_derived,CARVanta-Computed,computational
ADH14F,Melanoma,1.41,1.03,0.898,0.39,0.244,0.401,5,0,computationally_derived,CARVanta-Computed,computational
ADH14F,Lymphoma,1.59,1.58,0.88,0.519,0.448,0.486,0,0,computationally_derived,CARVanta-Computed,computational
ADH14G,Renal Cancer,1.02,4.69,0.874,0.655,0.255,0.556,0,0,computationally_derived,CARVanta-Computed,computational
ADH14G,Prostate Cancer,3.27,2.55,0.776,0.647,0.194,0.278,0,0,computationally_derived,CARVanta-Computed,computational
ADH14G,Ovarian Cancer,1.99,1.28,0.917,0.396,0.701,0.736,17,0,computationally_derived,CARVanta-Computed,computational
ADH14G,Myeloma,4.89,0.46,0.857,0.825,0.61,0.49,0,1,computationally_derived,CARVanta-Computed,computational
ADH14G,Bladder Cancer,3.27,1.39,0.892,0.686,0.6,0.462,0,1,computationally_derived,CARVanta-Computed,computational
ADH15,Prostate Cancer,2.47,1.08,0.733,0.692,0.533,0.269,3,0,computationally_derived,CARVanta-Computed,computational
ADH15,Gastric Cancer,3.47,0.86,0.834,0.382,0.801,0.456,10,0,computationally_derived,CARVanta-Computed,computational
ADH15,Glioblastoma,1.38,2.0,0.73,0.209,0.37,0.483,0,0,computationally_derived,CARVanta-Computed,computational
ADH15,Thyroid Cancer,8.05,2.2,0.731,0.272,0.742,0.416,0,0,computationally_derived,CARVanta-Computed,computational
ADH15,Breast Cancer,6.64,0.82,0.978,0.809,0.856,0.693,0,1,computationally_derived,CARVanta-Computed,computational
ADH15A,Melanoma,9.5,0.93,0.844,0.592,0.623,0.457,0,0,computationally_derived,CARVanta-Computed,computational
ADH15A,Head & Neck Cancer,3.62,1.1,0.919,0.713,0.637,0.534,0,1,computationally_derived,CARVanta-Computed,computational
ADH15A,Gastric Cancer,8.25,0.62,0.827,0.592,0.727,0.474,0,0,computationally_derived,CARVanta-Computed,computational
ADH15A,Endometrial Cancer,2.39,2.29,0.723,0.778,0.119,0.647,0,0,computationally_derived,CARVanta-Computed,computational
ADH15A,Thyroid Cancer,14.27,2.49,0.605,0.737,0.789,0.534,8,0,computationally_derived,CARVanta-Computed,computational
ADH15B,Head & Neck Cancer,4.0,0.94,0.658,0.567,0.506,0.606,1,0,computationally_derived,CARVanta-Computed,computational
ADH15B,Colorectal Cancer,1.7,3.73,0.887,0.484,0.05,0.251,2,0,computationally_derived,CARVanta-Computed,computational
ADH15B,Leukemia,3.38,1.93,0.888,0.876,0.454,0.269,3,0,computationally_derived,CARVanta-Computed,computational
ADH15B,Lung Adenocarcinoma,6.41,0.47,0.784,0.25,0.645,0.438,0,0,computationally_derived,CARVanta-Computed,computational
ADH15B,Ovarian Cancer,2.65,1.02,0.908,0.543,0.33,0.557,0,0,computationally_derived,CARVanta-Computed,computational
ADH15B,Melanoma,2.83,3.96,0.828,0.693,0.143,0.362,0,0,computationally_derived,CARVanta-Computed,computational
ADH15C,Liver Cancer,3.82,1.94,0.723,0.455,0.448,0.493,0,0,computationally_derived,CARVanta-Computed,computational
ADH15C,Pancreatic Cancer,3.06,1.45,0.815,0.575,0.601,0.31,0,0,computationally_derived,CARVanta-Computed,computational
ADH15C,Lymphoma,2.0,1.63,0.724,0.489,0.471,0.292,0,0,computationally_derived,CARVanta-Computed,computational
ADH15C,Thyroid Cancer,2.66,1.09,0.697,0.684,0.532,0.339,0,0,computationally_derived,CARVanta-Computed,computational
ADH15C,Endometrial Cancer,2.24,1.0,0.889,0.609,0.618,0.564,10,0,computationally_derived,CARVanta-Computed,computational
ADH15C,Melanoma,3.05,1.11,0.959,0.534,0.205,0.757,9,0,computationally_derived,CARVanta-Computed,computational
ADH15D,Ovarian Cancer,4.84,3.07,0.956,0.722,0.529,0.76,9,0,computationally_derived,CARVanta-Computed,computational
ADH15D,Prostate Cancer,4.7,0.31,0.931,0.52,0.857,0.798,0,0,computationally_derived,CARVanta-Computed,computational
ADH15D,Endometrial Cancer,4.77,0.4,0.97,0.617,0.637,0.36,13,1,computationally_derived,CARVanta-Computed,computational
ADH15D,Renal Cancer,3.3,1.29,0.699,0.42,0.403,0.513,0,0,computationally_derived,CARVanta-Computed,computational
ADH15D,Glioblastoma,5.1,2.37,0.882,0.753,0.244,0.355,4,0,computationally_derived,CARVanta-Computed,computational
ADH15D,Lung Adenocarcinoma,3.96,1.91,0.82,0.485,0.252,0.288,0,0,computationally_derived,CARVanta-Computed,computational
ADH15E,Glioblastoma,2.19,2.18,0.789,0.536,0.231,0.422,0,0,computationally_derived,CARVanta-Computed,computational
ADH15E,Lung Adenocarcinoma,4.22,1.34,0.869,0.574,0.632,0.678,0,0,computationally_derived,CARVanta-Computed,computational
ADH15E,Gastric Cancer,15.0,0.34,0.755,0.764,0.737,0.397,5,1,computationally_derived,CARVanta-Computed,computational
ADH15E,Renal Cancer,2.37,2.71,0.809,0.516,0.65,0.522,30,0,computationally_derived,CARVanta-Computed,computational
ADH15E,Leukemia,2.73,1.48,0.726,0.735,0.394,0.536,5,0,computationally_derived,CARVanta-Computed,computational
ADH15E,Lymphoma,2.6,1.27,0.721,0.649,0.334,0.562,0,0,computationally_derived,CARVanta-Computed,computational
ADH15E,Thyroid Cancer,3.12,8.36,0.799,0.68,0.383,0.446,7,0,computationally_derived,CARVanta-Computed,computational
ADH15F,Lymphoma,5.48,3.78,0.585,0.263,0.506,0.387,0,0,computationally_derived,CARVanta-Computed,computational
ADH15F,Glioblastoma,2.73,0.74,0.714,0.757,0.751,0.695,0,0,computationally_derived,CARVanta-Computed,computational
ADH15F,Lung Adenocarcinoma,2.46,2.54,0.794,0.791,0.154,0.385,0,0,computationally_derived,CARVanta-Computed,computational
ADH15F,Renal Cancer,4.06,1.24,0.881,0.772,0.657,0.902,3,1,computationally_derived,CARVanta-Computed,computational
ADH15F,Bladder Cancer,8.62,0.42,0.947,0.493,0.742,0.708,0,0,computationally_derived,CARVanta-Computed,computational
ADH15F,Ovarian Cancer,1.53,0.96,0.908,0.581,0.49,0.368,0,0,computationally_derived,CARVanta-Computed,computational
ADH15F,Liver Cancer,7.97,0.84,0.9,0.955,0.436,0.666,0,1,computationally_derived,CARVanta-Computed,computational
ADH15F,Prostate Cancer,4.35,7.75,0.77,0.796,0.196,0.724,0,0,computationally_derived,CARVanta-Computed,computational
ADH15G,Head & Neck Cancer,1.26,0.89,0.764,0.421,0.278,0.556,3,0,computationally_derived,CARVanta-Computed,computational
ADH15G,Bladder Cancer,2.83,4.21,0.936,0.492,0.192,0.362,0,0,computationally_derived,CARVanta-Computed,computational
ADH15G,Endometrial Cancer,4.1,3.0,0.692,0.589,0.65,0.27,0,0,computationally_derived,CARVanta-Computed,computational
ADH15G,Leukemia,1.46,2.06,0.826,0.755,0.325,0.532,0,0,computationally_derived,CARVanta-Computed,computational
ADH15G,Prostate Cancer,3.57,2.09,0.908,0.679,0.233,0.66,0,0,computationally_derived,CARVanta-Computed,computational
ADH15G,Pancreatic Cancer,3.69,0.53,0.751,0.791,0.693,0.701,0,1,computationally_derived,CARVanta-Computed,computational
ADH15G,Renal Cancer,2.67,1.2,0.828,0.762,0.511,0.57,0,0,computationally_derived,CARVanta-Computed,computational
ADH15G,Liver Cancer,2.54,2.69,0.738,0.907,0.5,0.6,2,0,computationally_derived,CARVanta-Computed,computational
ADH16,Breast Cancer,2.4,1.09,0.65,0.655,0.577,0.335,13,0,computationally_derived,CARVanta-Computed,computational
ADH16,Lung Adenocarcinoma,4.53,1.43,0.821,0.757,0.481,0.732,0,1,computationally_derived,CARVanta-Computed,computational
ADH16,Thyroid Cancer,1.4,1.12,0.913,0.288,0.062,0.517,0,0,computationally_derived,CARVanta-Computed,computational
ADH16,Head & Neck Cancer,3.97,1.11,0.979,0.408,0.775,0.342,1,0,computationally_derived,CARVanta-Computed,computational
ADH16,Glioblastoma,4.85,0.7,0.876,0.472,0.827,0.554,4,0,computationally_derived,CARVanta-Computed,computational
ADH16,Prostate Cancer,6.07,5.28,0.953,0.769,0.399,0.667,5,0,computationally_derived,CARVanta-Computed,computational
ADH16,Pancreatic Cancer,10.06,1.58,0.595,0.644,0.725,0.462,3,0,computationally_derived,CARVanta-Computed,computational
ADH16,Colorectal Cancer,2.18,0.95,0.899,0.805,0.509,0.531,0,0,computationally_derived,CARVanta-Computed,computational
ADH16,Endometrial Cancer,5.37,0.68,0.679,0.52,0.56,0.556,0,0,computationally_derived,CARVanta-Computed,computational
ADH16,Gastric Cancer,2.76,1.62,0.942,0.777,0.485,0.321,0,0,computationally_derived,CARVanta-Computed,computational
ADH16A,Renal Cancer,4.16,0.84,0.919,0.329,0.742,0.507,0,0,computationally_derived,CARVanta-Computed,computational
ADH16A,Lymphoma,14.61,1.16,0.724,0.399,0.695,0.449,0,0,computationally_derived,CARVanta-Computed,computational
ADH16A,Head & Neck Cancer,3.58,0.63,0.628,0.762,0.77,0.784,1,0,computationally_derived,CARVanta-Computed,computational
ADH16A,Colorectal Cancer,2.38,0.86,0.748,0.337,0.599,0.368,0,0,computationally_derived,CARVanta-Computed,computational
ADH16A,Liver Cancer,5.38,1.87,0.795,0.729,0.673,0.463,2,1,computationally_derived,CARVanta-Computed,computational
ADH16A,Myeloma,3.6,0.82,0.847,0.585,0.699,0.311,0,0,computationally_derived,CARVanta-Computed,computational
ADH16B,Melanoma,2.28,0.99,0.85,0.543,0.194,0.514,0,0,computationally_derived,CARVanta-Computed,computational
ADH16B,Lung Adenocarcinoma,0.65,3.19,0.877,0.696,0.46,0.317,0,0,computationally_derived,CARVanta-Computed,computational
ADH16B,Leukemia,5.92,1.81,0.638,0.576,0.49,0.35,0,0,computationally_derived,CARVanta-Computed,computational
ADH16B,Bladder Cancer,3.64,1.24,0.931,0.383,0.45,0.304,0,0,computationally_derived,CARVanta-Computed,computational
ADH16B,Thyroid Cancer,1.99,2.22,0.983,0.598,0.245,0.254,0,0,computationally_derived,CARVanta-Computed,computational
ADH16B,Ovarian Cancer,2.21,1.21,0.862,0.471,0.749,0.292,0,0,computationally_derived,CARVanta-Computed,computational
ADH16B,Renal Cancer,1.1,1.08,0.874,0.509,0.354,0.53,0,0,computationally_derived,CARVanta-Computed,computational
ADH16B,Myeloma,2.55,1.25,0.836,0.536,0.202,0.531,3,0,computationally_derived,CARVanta-Computed,computational
ADH16B,Lymphoma,1.81,0.88,0.932,0.691,0.538,0.764,12,0,computationally_derived,CARVanta-Computed,computational
ADH16C,Leukemia,3.5,1.08,0.846,0.283,0.462,0.35,8,0,computationally_derived,CARVanta-Computed,computational
ADH16C,Myeloma,4.84,1.47,0.685,0.586,0.751,0.542,0,0,computationally_derived,CARVanta-Computed,computational
ADH16C,Glioblastoma,13.3,1.06,0.796,0.408,0.426,0.611,0,0,computationally_derived,CARVanta-Computed,computational
ADH16C,Endometrial Cancer,2.61,2.25,0.847,0.891,0.473,0.654,0,0,computationally_derived,CARVanta-Computed,computational
ADH16C,Liver Cancer,1.29,0.34,0.752,0.518,0.636,0.481,3,0,computationally_derived,CARVanta-Computed,computational
ADH16C,Ovarian Cancer,5.13,2.95,0.912,0.568,0.31,0.558,3,0,computationally_derived,CARVanta-Computed,computational
ADH16C,Renal Cancer,3.23,1.07,0.553,0.609,0.751,0.461,3,0,computationally_derived,CARVanta-Computed,computational
ADH16C,Lymphoma,1.89,0.93,0.404,0.615,0.547,0.791,0,0,computationally_derived,CARVanta-Computed,computational
ADH16C,Pancreatic Cancer,5.0,6.17,0.849,0.662,0.139,0.518,0,0,computationally_derived,CARVanta-Computed,computational
ADH16D,Myeloma,0.6,1.57,0.893,0.701,0.18,0.232,0,0,computationally_derived,CARVanta-Computed,computational
ADH16D,Renal Cancer,1.97,2.9,0.537,0.765,0.258,0.541,0,0,computationally_derived,CARVanta-Computed,computational
ADH16D,Lymphoma,2.59,0.98,0.67,0.706,0.716,0.318,2,0,computationally_derived,CARVanta-Computed,computational
ADH16D,Melanoma,2.92,0.39,0.763,0.703,0.662,0.536,0,1,computationally_derived,CARVanta-Computed,computational
ADH16D,Bladder Cancer,4.64,1.22,0.933,0.636,0.348,0.37,0,1,computationally_derived,CARVanta-Computed,computational
ADH16D,Prostate Cancer,12.94,1.05,0.816,0.773,0.762,0.368,0,1,computationally_derived,CARVanta-Computed,computational
ADH16E,Endometrial Cancer,1.44,1.66,0.892,0.643,0.558,0.677,0,0,computationally_derived,CARVanta-Computed,computational
ADH16E,Gastric Cancer,4.18,0.61,0.834,0.533,0.759,0.594,0,0,computationally_derived,CARVanta-Computed,computational
ADH16E,Leukemia,8.15,1.12,0.741,0.53,0.695,0.425,0,0,computationally_derived,CARVanta-Computed,computational
ADH16E,Lymphoma,1.3,2.21,0.788,0.519,0.158,0.452,0,0,computationally_derived,CARVanta-Computed,computational
ADH16E,Colorectal Cancer,3.84,6.11,0.824,0.694,0.488,0.591,0,0,computationally_derived,CARVanta-Computed,computational
ADH16E,Glioblastoma,2.05,2.65,0.747,0.562,0.38,0.42,0,0,computationally_derived,CARVanta-Computed,computational
ADH16E,Head & Neck Cancer,2.37,0.44,0.795,0.489,0.823,0.446,0,0,computationally_derived,CARVanta-Computed,computational
ADH16E,Prostate Cancer,4.08,1.37,0.632,0.64,0.573,0.519,0,0,computationally_derived,CARVanta-Computed,computational
ADH16E,Breast Cancer,1.63,1.25,0.883,0.681,0.364,0.568,0,0,computationally_derived,CARVanta-Computed,computational
ADH16E,Lung Adenocarcinoma,2.43,2.56,0.582,0.528,0.383,0.516,0,0,computationally_derived,CARVanta-Computed,computational
ADH16F,Breast Cancer,2.98,1.94,0.881,0.601,0.53,0.148,0,0,computationally_derived,CARVanta-Computed,computational
ADH16F,Endometrial Cancer,4.99,1.3,0.949,0.653,0.573,0.426,2,1,computationally_derived,CARVanta-Computed,computational
ADH16F,Prostate Cancer,4.55,1.67,0.851,0.698,0.415,0.785,0,1,computationally_derived,CARVanta-Computed,computational
ADH16F,Myeloma,0.87,1.94,0.861,0.617,0.497,0.414,1,0,computationally_derived,CARVanta-Computed,computational
ADH16F,Lymphoma,2.13,2.54,0.782,0.561,0.485,0.711,0,0,computationally_derived,CARVanta-Computed,computational
ADH16F,Head & Neck Cancer,5.77,1.12,0.817,0.414,0.792,0.413,0,0,computationally_derived,CARVanta-Computed,computational
ADH16G,Myeloma,1.95,2.55,0.745,0.624,0.191,0.731,0,0,computationally_derived,CARVanta-Computed,computational
ADH16G,Bladder Cancer,1.28,0.55,0.812,0.435,0.422,0.6,0,0,computationally_derived,CARVanta-Computed,computational
ADH16G,Head & Neck Cancer,2.62,1.01,0.892,0.696,0.362,0.462,0,1,computationally_derived,CARVanta-Computed,computational
ADH16G,Lymphoma,1.47,1.02,0.715,0.489,0.178,0.212,0,0,computationally_derived,CARVanta-Computed,computational
ADH16G,Breast Cancer,5.56,0.45,0.892,0.806,0.639,0.483,8,1,computationally_derived,CARVanta-Computed,computational
ADH16G,Melanoma,5.4,0.61,0.619,0.547,0.86,0.774,0,0,computationally_derived,CARVanta-Computed,computational
ADH16G,Colorectal Cancer,5.6,0.63,0.955,0.624,0.437,0.544,0,1,computationally_derived,CARVanta-Computed,computational
ADH16G,Thyroid Cancer,8.29,0.65,0.819,0.291,0.33,0.498,0,0,computationally_derived,CARVanta-Computed,computational
ADH17,Bladder Cancer,1.19,1.38,0.923,0.715,0.311,0.517,0,0,computationally_derived,CARVanta-Computed,computational
ADH17,Gastric Cancer,2.12,0.98,0.762,0.838,0.644,0.487,0,0,computationally_derived,CARVanta-Computed,computational
ADH17,Colorectal Cancer,4.25,0.88,0.706,0.61,0.388,0.513,0,0,computationally_derived,CARVanta-Computed,computational
ADH17,Pancreatic Cancer,2.92,0.45,0.699,0.431,0.854,0.789,0,0,computationally_derived,CARVanta-Computed,computational
ADH17,Glioblastoma,4.48,0.66,0.62,0.692,0.801,0.507,2,0,computationally_derived,CARVanta-Computed,computational
ADH17,Liver Cancer,1.85,1.25,0.874,0.658,0.195,0.751,0,0,computationally_derived,CARVanta-Computed,computational
ADH17,Melanoma,2.73,1.6,0.959,0.425,0.644,0.354,0,0,computationally_derived,CARVanta-Computed,computational
ADH17,Prostate Cancer,3.75,0.77,0.912,0.619,0.572,0.178,0,0,computationally_derived,CARVanta-Computed,computational
ADH17,Leukemia,3.39,0.87,0.658,0.686,0.675,0.596,0,0,computationally_derived,CARVanta-Computed,computational
ADH17A,Bladder Cancer,2.02,0.41,0.658,0.602,0.586,0.379,3,0,computationally_derived,CARVanta-Computed,computational
ADH17A,Colorectal Cancer,3.68,1.05,0.899,0.554,0.663,0.421,0,0,computationally_derived,CARVanta-Computed,computational
ADH17A,Lung Adenocarcinoma,3.28,1.94,0.807,0.315,0.307,0.337,2,0,computationally_derived,CARVanta-Computed,computational
ADH17A,Leukemia,6.13,3.34,0.905,0.237,0.623,0.339,0,0,computationally_derived,CARVanta-Computed,computational
ADH17A,Head & Neck Cancer,3.15,0.73,0.902,0.478,0.765,0.483,9,0,computationally_derived,CARVanta-Computed,computational
ADH17A,Melanoma,4.61,2.14,0.774,0.492,0.355,0.633,8,0,computationally_derived,CARVanta-Computed,computational
ADH17A,Ovarian Cancer,2.98,0.83,0.877,0.506,0.323,0.388,4,0,computationally_derived,CARVanta-Computed,computational
ADH17A,Thyroid Cancer,1.44,0.57,0.442,0.386,0.678,0.653,0,0,computationally_derived,CARVanta-Computed,computational
ADH17A,Renal Cancer,3.48,0.67,0.776,0.315,0.729,0.627,0,0,computationally_derived,CARVanta-Computed,computational
ADH17A,Liver Cancer,1.96,2.12,0.8,0.414,0.116,0.662,11,0,computationally_derived,CARVanta-Computed,computational
ADH17B,Head & Neck Cancer,3.81,0.57,0.729,0.348,0.914,0.395,0,0,computationally_derived,CARVanta-Computed,computational
ADH17B,Thyroid Cancer,2.74,0.71,0.695,0.503,0.513,0.397,0,0,computationally_derived,CARVanta-Computed,computational
ADH17B,Colorectal Cancer,3.0,15.0,0.682,0.581,0.212,0.509,0,0,computationally_derived,CARVanta-Computed,computational
ADH17B,Lymphoma,2.42,0.95,0.895,0.749,0.289,0.599,0,1,computationally_derived,CARVanta-Computed,computational
ADH17B,Bladder Cancer,3.55,1.43,0.701,0.432,0.268,0.5,0,0,computationally_derived,CARVanta-Computed,computational
ADH17B,Endometrial Cancer,4.64,1.26,0.946,0.353,0.834,0.597,0,0,computationally_derived,CARVanta-Computed,computational
ADH17C,Leukemia,6.63,1.47,0.874,0.879,0.51,0.287,0,0,computationally_derived,CARVanta-Computed,computational
ADH17C,Prostate Cancer,8.58,1.26,0.924,0.317,0.514,0.582,3,0,computationally_derived,CARVanta-Computed,computational
ADH17C,Gastric Cancer,2.83,2.16,0.889,0.672,0.357,0.732,1,0,computationally_derived,CARVanta-Computed,computational
ADH17C,Thyroid Cancer,1.91,1.16,0.913,0.425,0.702,0.527,11,0,computationally_derived,CARVanta-Computed,computational
ADH17C,Pancreatic Cancer,5.04,1.88,0.887,0.594,0.306,0.332,0,0,computationally_derived,CARVanta-Computed,computational
ADH17C,Ovarian Cancer,10.45,2.46,0.81,0.661,0.384,0.3,3,0,computationally_derived,CARVanta-Computed,computational
ADH17C,Breast Cancer,2.26,0.76,0.702,0.558,0.496,0.396,0,0,computationally_derived,CARVanta-Computed,computational
ADH17D,Prostate Cancer,5.43,1.28,0.86,0.731,0.717,0.267,0,0,computationally_derived,CARVanta-Computed,computational
ADH17D,Ovarian Cancer,4.99,0.95,0.733,0.952,0.595,0.457,4,0,computationally_derived,CARVanta-Computed,computational
ADH17D,Renal Cancer,5.47,0.74,0.922,0.615,0.744,0.694,38,1,computationally_derived,CARVanta-Computed,computational
ADH17D,Melanoma,1.86,2.1,0.641,0.434,0.413,0.304,4,0,computationally_derived,CARVanta-Computed,computational
ADH17D,Leukemia,5.09,3.1,0.94,0.559,0.668,0.304,3,0,computationally_derived,CARVanta-Computed,computational
ADH17D,Liver Cancer,15.0,1.51,0.676,0.466,0.778,0.636,1,0,computationally_derived,CARVanta-Computed,computational
ADH17D,Bladder Cancer,3.78,1.42,0.734,0.722,0.775,0.549,6,0,computationally_derived,CARVanta-Computed,computational
ADH17E,Head & Neck Cancer,3.35,4.22,0.716,0.845,0.472,0.344,0,0,computationally_derived,CARVanta-Computed,computational
ADH17E,Pancreatic Cancer,6.47,1.42,0.869,0.634,0.654,0.19,0,0,computationally_derived,CARVanta-Computed,computational
ADH17E,Leukemia,2.38,0.8,0.859,0.502,0.352,0.387,0,0,computationally_derived,CARVanta-Computed,computational
ADH17E,Prostate Cancer,6.1,0.53,0.648,0.838,0.747,0.506,5,0,computationally_derived,CARVanta-Computed,computational
ADH17E,Lymphoma,7.5,0.79,0.872,0.748,0.816,0.596,0,1,computationally_derived,CARVanta-Computed,computational
ADH17E,Melanoma,2.99,0.97,0.775,0.663,0.497,0.513,0,1,computationally_derived,CARVanta-Computed,computational
ADH17E,Bladder Cancer,2.39,1.16,0.856,0.414,0.203,0.628,0,0,computationally_derived,CARVanta-Computed,computational
ADH17E,Liver Cancer,4.91,7.29,0.626,0.717,0.787,0.426,0,0,computationally_derived,CARVanta-Computed,computational
ADH17E,Renal Cancer,2.29,1.18,0.878,0.353,0.596,0.438,0,0,computationally_derived,CARVanta-Computed,computational
ADH17E,Endometrial Cancer,2.94,1.37,0.858,0.172,0.502,0.795,0,0,computationally_derived,CARVanta-Computed,computational
ADH17F,Melanoma,5.72,3.52,0.563,0.62,0.513,0.467,0,0,computationally_derived,CARVanta-Computed,computational
ADH17F,Lymphoma,6.44,1.02,0.491,0.682,0.623,0.426,0,0,computationally_derived,CARVanta-Computed,computational
ADH17F,Myeloma,5.01,4.09,0.881,0.371,0.437,0.667,0,0,computationally_derived,CARVanta-Computed,computational
ADH17F,Liver Cancer,2.64,1.43,0.864,0.746,0.509,0.684,0,0,computationally_derived,CARVanta-Computed,computational
ADH17F,Gastric Cancer,7.43,2.29,0.874,0.577,0.432,0.425,12,0,computationally_derived,CARVanta-Computed,computational
ADH17G,Liver Cancer,3.02,1.02,0.731,0.802,0.387,0.645,0,0,computationally_derived,CARVanta-Computed,computational
ADH17G,Breast Cancer,4.39,3.21,0.855,0.583,0.367,0.409,0,0,computationally_derived,CARVanta-Computed,computational
ADH17G,Lung Adenocarcinoma,5.83,0.43,0.862,0.524,0.573,0.683,0,0,computationally_derived,CARVanta-Computed,computational
ADH17G,Bladder Cancer,10.71,0.39,0.944,0.593,0.647,0.222,2,0,computationally_derived,CARVanta-Computed,computational
ADH17G,Lymphoma,1.5,2.44,0.727,0.774,0.478,0.511,2,0,computationally_derived,CARVanta-Computed,computational
ADH17G,Renal Cancer,8.39,1.18,0.933,0.358,0.615,0.2,0,0,computationally_derived,CARVanta-Computed,computational
ADH18,Endometrial Cancer,2.32,1.38,0.854,0.576,0.489,0.695,0,0,computationally_derived,CARVanta-Computed,computational
ADH18,Melanoma,5.91,5.32,0.799,0.617,0.275,0.452,0,0,computationally_derived,CARVanta-Computed,computational
ADH18,Renal Cancer,2.13,0.8,0.779,0.549,0.54,0.399,0,0,computationally_derived,CARVanta-Computed,computational
ADH18,Glioblastoma,3.2,0.88,0.883,0.539,0.858,0.365,0,0,computationally_derived,CARVanta-Computed,computational
ADH18,Thyroid Cancer,2.12,0.49,0.664,0.535,0.619,0.543,0,0,computationally_derived,CARVanta-Computed,computational
