antigen_name,cancer_type,mean_tumor_expression,mean_normal_expression,stability_score,literature_support,immunogenicity_score,surface_accessibility,clinical_trials_count,viability_label,data_source,source_database,evidence_level,biomarker_category,analyte_type,regulation,source_group
Pdx-1,Pancreatic (PDAC),8.88,0.85,0.61,0.867,0.847,0.445,3,1,real,Literature,preclinical,CTC,Liquid Biopsy,up,Serum Liquid Biopsy
KRAS mutation (CTC),Pancreatic (PDAC),6.87,1.74,0.636,0.6,0.512,0.464,9,1,real,Literature,preclinical,CTC,Liquid Biopsy,up,Serum Liquid Biopsy
CEP8,Pancreatic (PDAC),7.69,0.7,0.918,0.709,0.648,0.676,3,1,real,Literature,preclinical,CTC,Liquid Biopsy,up,Serum Liquid Biopsy
CK,Pancreatic (PDAC),7.32,0.51,0.881,0.66,0.587,0.648,1,1,real,Literature,preclinical,CTC,Liquid Biopsy,up,Serum Liquid Biopsy
DAPI,Pancreatic (PDAC),4.15,4.3,0.825,0.725,0.668,0.606,8,0,real,Literature,preclinical,CTC,Liquid Biopsy,neutral,Serum Liquid Biopsy
Chromosome 8,Pancreatic (PDAC),8.71,0.66,0.929,0.844,0.818,0.684,2,1,real,Literature,preclinical,CTC,Liquid Biopsy,up,Serum Liquid Biopsy
Folate-receptor positive CTCs,Pancreatic (PDAC),6.62,0.99,0.762,0.566,0.47,0.559,4,1,real,Literature,preclinical,CTC,Liquid Biopsy,up,Serum Liquid Biopsy
LYVE1,Pancreatic (PDAC),8.31,0.47,0.621,0.792,0.752,0.603,1,1,real,Literature,preclinical,Protein,Protein,up,Urinary
REG1A,Pancreatic (PDAC),8.03,0.93,0.795,0.921,0.704,0.734,35,1,real,Literature,clinical,Protein,Protein,up,Urinary
TTF1,Pancreatic (PDAC),7.67,1.52,0.85,0.706,0.645,0.775,8,1,real,Literature,preclinical,Protein,Protein,up,Urinary
TIMP1,Pancreatic (PDAC),6.52,1.39,0.593,0.553,0.454,0.582,7,1,real,Literature,preclinical,Protein,Protein,up,Urinary
MMP-2,Pancreatic (PDAC),6.52,1.97,0.903,0.552,0.453,0.815,11,1,real,Literature,preclinical,Protein,Protein,up,Urinary
NGAL,Pancreatic (PDAC),7.61,0.98,0.658,0.699,0.636,0.631,4,1,real,Literature,preclinical,Protein,Protein,up,Urinary
PGE2 metabolites,Pancreatic (PDAC),6.76,1.76,0.631,0.584,0.493,0.611,10,1,real,Literature,preclinical,Protein,Protein,up,Urinary
CD59,Pancreatic (PDAC),7.64,1.23,0.909,0.702,0.64,0.819,6,1,real,Literature,preclinical,Protein,Protein,up,Urinary
ANXA2,Pancreatic (PDAC),6.63,1.2,0.734,0.568,0.472,0.688,6,1,real,Literature,preclinical,Protein,Protein,up,Urinary
21 kDa gelsolin fragment,Pancreatic (PDAC),8.03,1.73,0.638,0.754,0.705,0.616,9,1,real,Literature,preclinical,Protein,Protein,up,Urinary
S100A9,Pancreatic (PDAC),7.59,2.05,0.759,0.696,0.632,0.707,12,1,real,Literature,preclinical,Protein,Protein,up,Urinary
KRAS mutation (UcfDNA),Pancreatic (PDAC),8.05,1.73,0.859,0.757,0.708,0.632,9,1,real,Literature,preclinical,Liquid biopsy,Protein,up,Urinary
miR-3940-5p,Pancreatic (PDAC),6.64,1.34,0.702,0.568,0.473,0.245,7,1,real,Literature,preclinical,Exosomal miRNA,miRNA,up,Urinary
miR-8069,Pancreatic (PDAC),7.39,1.98,0.633,0.669,0.598,0.202,11,1,real,Literature,preclinical,Exosomal miRNA,miRNA,up,Urinary
miR-143,Pancreatic (PDAC),2.56,5.21,0.676,0.906,0.895,0.229,3,1,real,Literature,preclinical,miRNA (RNA),miRNA,down,Urinary
miR-223,Pancreatic (PDAC),8.68,0.44,0.772,0.84,0.813,0.289,1,1,real,Literature,preclinical,miRNA (RNA),miRNA,up,Urinary
miR-30e,Pancreatic (PDAC),0.83,7.34,0.918,0.592,0.503,0.38,12,1,real,Literature,preclinical,miRNA (RNA),miRNA,down,Urinary
miR-1246,Pancreatic (PDAC),8.28,1.78,0.922,0.933,0.746,0.383,30,1,real,Literature,clinical,miRNA (RNA),miRNA,up,Urinary
Calcium,Pancreatic (PDAC),8.24,1.7,0.73,0.782,0.74,0.263,9,1,real,Literature,preclinical,Metallomics,Metabolite,up,Urinary
Magnesium,Pancreatic (PDAC),6.58,0.99,0.894,0.561,0.464,0.365,4,1,real,Literature,preclinical,Metallomics,Metabolite,up,Urinary
VOCs,Pancreatic (PDAC),7.12,0.71,0.934,0.633,0.554,0.688,3,1,real,Literature,preclinical,Other,Protein,up,Urinary
CA19-9,Pancreatic (PDAC),8.48,0.56,0.945,0.942,0.78,0.846,260,1,real,Literature,clinical,Protein,Protein,up,Pancreatic Juice
MIC-1,Pancreatic (PDAC),6.52,1.71,0.791,0.553,0.454,0.73,9,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
NGAL,Pancreatic (PDAC),7.61,0.98,0.658,0.699,0.636,0.631,4,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
CEA,Pancreatic (PDAC),7.67,1.34,0.666,0.904,0.645,0.637,180,1,real,Literature,clinical,Protein,Protein,up,Pancreatic Juice
AMYP,Pancreatic (PDAC),7.4,1.98,0.632,0.67,0.6,0.611,11,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
PRSS1,Pancreatic (PDAC),7.5,1.91,0.719,0.897,0.617,0.677,25,1,real,Literature,clinical,Protein,Protein,up,Pancreatic Juice
GP2-1,Pancreatic (PDAC),6.93,1.02,0.597,0.608,0.522,0.585,5,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
CCDC132,Pancreatic (PDAC),7.88,1.64,0.563,0.734,0.68,0.56,9,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
REG1A,Pancreatic (PDAC),8.03,0.93,0.795,0.921,0.704,0.734,35,1,real,Literature,clinical,Protein,Protein,up,Pancreatic Juice
REG1B,Pancreatic (PDAC),6.97,1.93,0.865,0.612,0.528,0.787,11,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
REG3A,Pancreatic (PDAC),8.45,1.61,0.861,0.81,0.775,0.783,9,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
LIPRP2,Pancreatic (PDAC),7.71,0.68,0.907,0.711,0.652,0.817,2,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
KL-6/MUC1,Pancreatic (PDAC),9.42,1.64,0.846,0.939,0.936,0.772,9,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
CPA5,Pancreatic (PDAC),9.21,1.66,0.552,0.912,0.902,0.551,9,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
LIPRP1 (inactive),Pancreatic (PDAC),6.63,0.78,0.806,0.567,0.471,0.742,3,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
KLK1,Pancreatic (PDAC),8.09,0.82,0.83,0.762,0.715,0.76,3,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
HBD,Pancreatic (PDAC),7.53,1.66,0.692,0.688,0.622,0.657,9,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
TTR,Pancreatic (PDAC),7.44,1.5,0.737,0.676,0.607,0.691,8,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
S100P,Pancreatic (PDAC),9.22,0.82,0.573,0.913,0.904,0.567,3,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
MMP-9,Pancreatic (PDAC),8.06,1.12,0.75,0.758,0.709,0.7,5,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
MMP-7,Pancreatic (PDAC),8.28,1.53,0.877,0.787,0.746,0.795,8,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
DJ-1,Pancreatic (PDAC),7.33,1.66,0.678,0.661,0.589,0.646,9,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
A1BG,Pancreatic (PDAC),8.97,1.92,0.719,0.88,0.862,0.676,11,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
PAP-1,Pancreatic (PDAC),8.84,1.53,0.797,0.862,0.84,0.735,8,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
AGR2,Pancreatic (PDAC),8.54,1.1,0.683,0.822,0.791,0.65,5,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
IL-8,Pancreatic (PDAC),7.99,0.84,0.927,0.749,0.698,0.833,3,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
Cathepsin E,Pancreatic (PDAC),7.24,1.03,0.633,0.648,0.573,0.612,5,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Juice
miR-21,Pancreatic (PDAC),8.54,1.06,0.847,0.945,0.791,0.335,65,1,real,Literature,clinical,RNA (miRNA),miRNA,up,Pancreatic Juice
miR-155,Pancreatic (PDAC),7.27,1.18,0.755,0.653,0.578,0.278,6,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Juice
miR-205,Pancreatic (PDAC),7.42,0.58,0.818,0.673,0.604,0.317,2,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Juice
miR-210,Pancreatic (PDAC),8.78,2.1,0.854,0.854,0.829,0.34,12,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Juice
miR-492,Pancreatic (PDAC),8.5,1.1,0.89,0.816,0.783,0.363,5,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Juice
miR-1427,Pancreatic (PDAC),8.13,1.25,0.883,0.768,0.722,0.358,6,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Juice
Mesothelin (mRNA),Pancreatic (PDAC),6.62,1.47,0.892,0.566,0.47,0.364,8,1,real,Literature,preclinical,RNA,RNA,up,Pancreatic Juice
hTERT,Pancreatic (PDAC),6.95,1.63,0.775,0.61,0.525,0.291,9,1,real,Literature,preclinical,RNA (other),RNA,up,Pancreatic Juice
Telomerase activity,Pancreatic (PDAC),7.41,1.86,0.582,0.671,0.601,0.17,10,1,real,Literature,preclinical,RNA (other),RNA,up,Pancreatic Juice
CEACAM1,Pancreatic (PDAC),9.39,1.71,0.741,0.935,0.931,0.886,9,1,real,Literature,preclinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
CEACAM5,Pancreatic (PDAC),7.68,0.93,0.602,0.707,0.646,0.823,4,1,real,Literature,preclinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
Tenascin C,Pancreatic (PDAC),8.65,2.04,0.853,0.837,0.808,0.936,11,1,real,Literature,preclinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
MMP7,Pancreatic (PDAC),7.43,0.9,0.822,0.674,0.605,0.923,4,1,real,Literature,preclinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
LAMB3,Pancreatic (PDAC),9.3,0.56,0.723,0.924,0.917,0.878,2,1,real,Literature,preclinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
LAMC2,Pancreatic (PDAC),9.36,1.85,0.664,0.931,0.926,0.851,10,1,real,Literature,preclinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
MUC1,Pancreatic (PDAC),8.05,1.6,0.669,0.757,0.708,0.854,9,1,real,Literature,preclinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
MUC4,Pancreatic (PDAC),7.81,1.05,0.868,0.725,0.669,0.943,5,1,real,Literature,preclinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
MUC5AC,Pancreatic (PDAC),7.28,1.94,0.72,0.886,0.579,0.876,55,1,real,Literature,clinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
MUC6,Pancreatic (PDAC),7.54,1.2,0.911,0.689,0.624,0.963,6,1,real,Literature,preclinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
MUC16,Pancreatic (PDAC),8.05,1.9,0.709,0.922,0.708,0.871,70,1,real,Literature,clinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
CFTR,Pancreatic (PDAC),8.92,0.66,0.639,0.872,0.853,0.84,2,1,real,Literature,preclinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
MDR1,Pancreatic (PDAC),9.21,0.84,0.566,0.911,0.901,0.807,3,1,real,Literature,preclinical,Liquid biopsy (Exosome),Liquid Biopsy,up,Pancreatic Juice
ex-miR-21,Pancreatic (PDAC),8.27,0.72,0.563,0.786,0.745,0.158,3,1,real,Literature,preclinical,Liquid biopsy (Exosomal miRNA),miRNA,up,Pancreatic Juice
ex-miR-155,Pancreatic (PDAC),6.95,1.92,0.815,0.61,0.525,0.316,11,1,real,Literature,preclinical,Liquid biopsy (Exosomal miRNA),miRNA,up,Pancreatic Juice
KRAS (methylated DNA),Pancreatic (PDAC),8.93,0.79,0.698,0.874,0.856,0.511,3,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,up,Pancreatic Juice
ppENK (methylated DNA),Pancreatic (PDAC),1.75,4.56,0.729,0.76,0.712,0.534,1,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,down,Pancreatic Juice
p16 (methylated DNA),Pancreatic (PDAC),1.57,6.35,0.628,0.726,0.67,0.458,8,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,down,Pancreatic Juice
Cyclin D2 (methylated DNA),Pancreatic (PDAC),6.8,1.23,0.683,0.59,0.5,0.5,6,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,up,Pancreatic Juice
FOXE1 (methylated DNA),Pancreatic (PDAC),1.74,6.41,0.685,0.758,0.71,0.501,8,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,down,Pancreatic Juice
NPTX2 (methylated DNA),Pancreatic (PDAC),2.13,5.79,0.654,0.829,0.799,0.478,6,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,down,Pancreatic Juice
TFPI2 (methylated DNA),Pancreatic (PDAC),1.33,4.53,0.908,0.682,0.615,0.669,1,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,down,Pancreatic Juice
CD1D (methylated DNA),Pancreatic (PDAC),1.02,6.04,0.672,0.627,0.546,0.491,7,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,down,Pancreatic Juice
KCNK12 (methylated DNA),Pancreatic (PDAC),2.28,4.92,0.686,0.855,0.832,0.502,2,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,down,Pancreatic Juice
CLEC11A (methylated DNA),Pancreatic (PDAC),1.02,5.21,0.764,0.626,0.545,0.56,3,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,down,Pancreatic Juice
NDRG4 (methylated DNA),Pancreatic (PDAC),2.06,5.65,0.807,0.815,0.781,0.593,5,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,down,Pancreatic Juice
IKZF1 (methylated DNA),Pancreatic (PDAC),1.87,6.5,0.942,0.781,0.739,0.694,8,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,down,Pancreatic Juice
PKRCB (methylated DNA),Pancreatic (PDAC),1.16,4.66,0.89,0.652,0.578,0.655,1,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,down,Pancreatic Juice
MUC1 (methylated DNA),Pancreatic (PDAC),7.39,1.12,0.795,0.669,0.599,0.584,5,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,up,Pancreatic Juice
MUC2 (methylated DNA),Pancreatic (PDAC),7.48,1.78,0.8,0.681,0.614,0.587,10,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,up,Pancreatic Juice
MUC4 (methylated DNA),Pancreatic (PDAC),7.67,1.83,0.751,0.706,0.645,0.551,10,1,real,Literature,preclinical,Liquid biopsy (DNA),Protein,up,Pancreatic Juice
CEA,Pancreatic (PDAC),7.67,1.34,0.666,0.904,0.645,0.637,180,1,real,Literature,clinical,Protein,Protein,up,Pancreatic Cyst Fluid
Glucose,Pancreatic (PDAC),9.2,1.22,0.726,0.911,0.901,0.682,6,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
MUC4,Pancreatic (PDAC),7.81,1.05,0.868,0.725,0.669,0.789,5,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
PGE2,Pancreatic (PDAC),6.61,0.62,0.8,0.565,0.468,0.738,2,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
IL-1B,Pancreatic (PDAC),8.46,0.76,0.75,0.812,0.777,0.7,3,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
PGE synthetase 2,Pancreatic (PDAC),7.84,1.27,0.579,0.728,0.673,0.571,6,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
IL-4,Pancreatic (PDAC),7.2,1.49,0.942,0.644,0.567,0.844,8,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
CA72-4,Pancreatic (PDAC),7.69,1.34,0.842,0.708,0.648,0.769,7,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
sFASL,Pancreatic (PDAC),7.69,2.15,0.792,0.709,0.649,0.731,12,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
MMP9,Pancreatic (PDAC),6.57,0.8,0.746,0.56,0.462,0.697,3,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
AREG (Amphiregulin),Pancreatic (PDAC),9.38,1.58,0.9,0.935,0.931,0.813,8,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
SPINK1,Pancreatic (PDAC),9.12,1.65,0.721,0.972,0.887,0.678,25,1,real,Literature,clinical,Protein,Protein,up,Pancreatic Cyst Fluid
mAB Das-1,Pancreatic (PDAC),7.97,1.89,0.678,0.746,0.695,0.646,10,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
IL-10,Pancreatic (PDAC),8.0,1.18,0.713,0.749,0.699,0.672,6,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
GM-CSF,Pancreatic (PDAC),7.37,0.76,0.819,0.667,0.596,0.752,3,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
MUC1,Pancreatic (PDAC),8.05,1.6,0.669,0.757,0.708,0.639,9,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
MUC2,Pancreatic (PDAC),7.25,0.6,0.86,0.65,0.575,0.783,2,1,real,Literature,preclinical,Protein,Protein,up,Pancreatic Cyst Fluid
MUC5AC,Pancreatic (PDAC),7.28,1.94,0.72,0.886,0.579,0.677,55,1,real,Literature,clinical,Protein,Protein,up,Pancreatic Cyst Fluid
miR-21,Pancreatic (PDAC),8.54,1.06,0.847,0.945,0.791,0.335,65,1,real,Literature,clinical,RNA (miRNA),miRNA,up,Pancreatic Cyst Fluid
miR-221,Pancreatic (PDAC),8.58,1.11,0.72,0.827,0.796,0.256,5,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Cyst Fluid
miR-18a,Pancreatic (PDAC),8.06,0.58,0.676,0.758,0.71,0.229,2,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Cyst Fluid
miR-24,Pancreatic (PDAC),8.37,1.35,0.782,0.799,0.762,0.295,7,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Cyst Fluid
miR-30a-3p,Pancreatic (PDAC),9.03,1.92,0.906,0.888,0.872,0.373,11,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Cyst Fluid
miR-92a,Pancreatic (PDAC),7.98,1.4,0.931,0.747,0.696,0.388,7,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Cyst Fluid
miR-99b,Pancreatic (PDAC),8.58,1.26,0.662,0.828,0.797,0.22,6,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Cyst Fluid
miR-106b,Pancreatic (PDAC),7.31,0.74,0.89,0.659,0.586,0.363,3,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Cyst Fluid
miR-142-3p,Pancreatic (PDAC),7.98,1.12,0.85,0.748,0.697,0.337,5,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Cyst Fluid
miR-342-3p,Pancreatic (PDAC),7.62,0.51,0.759,0.699,0.636,0.281,1,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Cyst Fluid
miR-532-3p,Pancreatic (PDAC),8.96,2.17,0.742,0.877,0.859,0.27,12,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Pancreatic Cyst Fluid
KRAS mutations,Pancreatic (PDAC),9.26,1.24,0.886,0.918,0.91,0.36,6,1,real,Literature,preclinical,DNA (Other),ctDNA / DNA,up,Pancreatic Cyst Fluid
GNAS mutations,Pancreatic (PDAC),7.54,2.06,0.932,0.688,0.623,0.389,12,1,real,Literature,preclinical,DNA (Other),ctDNA / DNA,up,Pancreatic Cyst Fluid
HOTAIR,Pancreatic (PDAC),6.76,1.72,0.808,0.584,0.493,0.311,9,1,real,Literature,preclinical,RNA (LncRNA),lncRNA,up,Salivary
PVT1,Pancreatic (PDAC),8.61,1.36,0.682,0.832,0.802,0.233,7,1,real,Literature,preclinical,RNA (LncRNA),lncRNA,up,Salivary
miR-21,Pancreatic (PDAC),8.54,1.06,0.847,0.945,0.791,0.335,65,1,real,Literature,clinical,RNA (miRNA),miRNA,up,Salivary
miR-23a,Pancreatic (PDAC),7.93,1.16,0.69,0.741,0.689,0.237,6,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Salivary
miR-23b,Pancreatic (PDAC),7.59,0.66,0.644,0.696,0.632,0.209,2,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Salivary
miR-29c,Pancreatic (PDAC),2.78,6.85,0.794,0.946,0.945,0.303,10,1,real,Literature,preclinical,RNA (miRNA),miRNA,down,Salivary
miR-1246,Pancreatic (PDAC),8.28,1.78,0.922,0.933,0.746,0.383,30,1,real,Literature,clinical,RNA (miRNA),miRNA,up,Salivary
miR-4644,Pancreatic (PDAC),8.58,0.76,0.678,0.827,0.797,0.23,3,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Salivary
miR-34a,Pancreatic (PDAC),2.5,6.95,0.869,0.895,0.882,0.349,10,1,real,Literature,preclinical,RNA (miRNA),miRNA,down,Salivary
miR-155,Pancreatic (PDAC),7.27,1.18,0.755,0.653,0.578,0.278,6,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Salivary
miR-200b,Pancreatic (PDAC),1.84,4.59,0.873,0.776,0.732,0.352,1,1,real,Literature,preclinical,RNA (miRNA),miRNA,down,Salivary
miR-376a,Pancreatic (PDAC),8.65,1.66,0.67,0.837,0.809,0.225,9,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Salivary
miR-216,Pancreatic (PDAC),9.4,2.17,0.61,0.937,0.933,0.187,12,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Salivary
miR-940,Pancreatic (PDAC),7.82,2.03,0.863,0.726,0.669,0.346,11,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Salivary
miR-3679-5p,Pancreatic (PDAC),8.79,0.91,0.793,0.856,0.832,0.302,4,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Salivary
miR-17,Pancreatic (PDAC),8.17,0.78,0.84,0.773,0.729,0.331,3,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Salivary
miR-181b,Pancreatic (PDAC),7.54,0.71,0.724,0.689,0.623,0.259,3,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Salivary
miR-196a,Pancreatic (PDAC),6.77,2.08,0.819,0.586,0.495,0.318,12,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Salivary
Alanine,Pancreatic (PDAC),8.52,0.43,0.626,0.819,0.786,0.197,1,1,real,Literature,preclinical,Salivary polyamine,Metabolite,up,Salivary
N1-acetylspermidine,Pancreatic (PDAC),8.74,0.96,0.779,0.848,0.823,0.293,4,1,real,Literature,preclinical,Salivary polyamine,Metabolite,up,Salivary
2-oxobutyrate,Pancreatic (PDAC),7.78,1.38,0.853,0.72,0.663,0.339,7,1,real,Literature,preclinical,Salivary polyamine,Metabolite,up,Salivary
2-hydroxybutyrate,Pancreatic (PDAC),6.59,0.88,0.76,0.562,0.465,0.281,4,1,real,Literature,preclinical,Salivary polyamine,Metabolite,up,Salivary
VEGF,Pancreatic (PDAC),7.43,0.73,0.777,0.674,0.605,0.721,3,1,real,Literature,preclinical,Protein,Protein,up,Biliary
CA19-9,Pancreatic (PDAC),8.48,0.56,0.945,0.942,0.78,0.846,260,1,real,Literature,clinical,Protein,Protein,up,Biliary
CA125,Pancreatic (PDAC),8.32,1.82,0.904,0.793,0.754,0.816,10,1,real,Literature,preclinical,Protein,Protein,up,Biliary
CA72-4,Pancreatic (PDAC),7.69,1.34,0.842,0.708,0.648,0.769,7,1,real,Literature,preclinical,Protein,Protein,up,Biliary
CEA,Pancreatic (PDAC),7.67,1.34,0.666,0.904,0.645,0.637,180,1,real,Literature,clinical,Protein,Protein,up,Biliary
sLR11,Pancreatic (PDAC),9.14,1.91,0.666,0.902,0.89,0.637,11,1,real,Literature,preclinical,Protein,Protein,up,Biliary
MUC4,Pancreatic (PDAC),7.81,1.05,0.868,0.725,0.669,0.789,5,1,real,Literature,preclinical,Protein,Protein,up,Biliary
IGF-1,Pancreatic (PDAC),8.09,0.57,0.875,0.762,0.714,0.794,2,1,real,Literature,preclinical,Protein,Protein,up,Biliary
NGAL,Pancreatic (PDAC),7.61,0.98,0.658,0.699,0.636,0.631,4,1,real,Literature,preclinical,Protein,Protein,up,Biliary
CEAM6,Pancreatic (PDAC),9.13,1.2,0.76,0.9,0.888,0.707,6,1,real,Literature,preclinical,Protein,Protein,up,Biliary
LG3BP,Pancreatic (PDAC),9.38,1.13,0.564,0.934,0.93,0.56,5,1,real,Literature,preclinical,Protein,Protein,up,Biliary
MMP7,Pancreatic (PDAC),7.43,0.9,0.822,0.674,0.605,0.754,4,1,real,Literature,preclinical,Protein,Protein,up,Biliary
MUC5B,Pancreatic (PDAC),8.88,1.95,0.665,0.867,0.846,0.636,11,1,real,Literature,preclinical,Protein,Protein,up,Biliary
MCM5,Pancreatic (PDAC),6.76,1.01,0.696,0.584,0.493,0.659,5,1,real,Literature,preclinical,Protein,Protein,up,Biliary
Trypsinogen-1,Pancreatic (PDAC),7.88,1.95,0.588,0.734,0.68,0.579,11,1,real,Literature,preclinical,Protein,Protein,up,Biliary
Trypsinogen-2,Pancreatic (PDAC),8.29,0.4,0.585,0.789,0.749,0.576,1,1,real,Literature,preclinical,Protein,Protein,up,Biliary
TFPI2 (methylated DNA),Pancreatic (PDAC),7.49,0.42,0.908,0.682,0.615,0.669,1,1,real,Literature,preclinical,Liquid biopsy,Protein,up,Biliary
NPTX2 (methylated DNA),Pancreatic (PDAC),8.59,1.18,0.654,0.829,0.799,0.478,6,1,real,Literature,preclinical,Liquid biopsy,Protein,up,Biliary
CCND2 (methylated DNA),Pancreatic (PDAC),8.89,1.87,0.564,0.869,0.849,0.41,10,1,real,Literature,preclinical,Liquid biopsy,Protein,up,Biliary
miR-10b,Pancreatic (PDAC),9.05,1.33,0.696,0.89,0.874,0.241,7,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Biliary
miR-106b,Pancreatic (PDAC),7.31,0.74,0.89,0.659,0.586,0.363,3,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Biliary
miR-30c,Pancreatic (PDAC),7.59,1.37,0.608,0.695,0.632,0.186,7,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Biliary
